sniper,снайперист,狙击手,odstřelovač,snigskytte,sluipschutter,ampuja,tireur d'élite,Scharfschütze,σκοπευτής ελεύθερος,निशानची,orvlövész,cecchino,狙撃兵,저격병,snikskytter,snajper,Franco atirador,ਸਨਾਈਪਰ,lunetist,снайпер,francotirador,prickskytt,ซุ่มยิง,Keskin nisanci,снайпер,kẻ bắn tỉa
tricannon,Триканон,Tricannon,Tricannon,Tricannon,tricannon,tricannon,tricannon,Tricannon,τρικάνον,ट्रिकैनॉन,tricannon,Tricannon,トリカンノン,트리칸 논,Tannon,Tricannon,Tricannon,ਟਰੇਕਨਨ,Tricannon,Триканнон,tricanón,tricannon,Tricannon,Tricannon,триканон,Tricannon
fires weaker cannonballs in three directions,пожари по -слаби оръдия в три посоки,在三个方向上发射较弱的炮弹,Vystřelí slabší dělové koule ve třech směrech,ild svagere kanonkugler i tre retninger,vuurt zwakkere kanonskogels in drie richtingen aan,ampuu heikompia tykkipalloja kolmeen suuntaan,tire des boules de canon plus faibles dans trois directions,feuert schwächere Kanonenkugeln in drei Richtungen,πυρκαγιές πιο αδύναμες πυροβόλα σε τρεις κατευθύνσεις,तीन दिशाओं में कमजोर तोपों की आग,három irányba lő a gyengébb ágyúgolyókat,spara palle di cannone più deboli in tre direzioni,より弱いキャノンボールを3つの方向に発射します,세 방향으로 약한 대포를 발사합니다,Branner svakere kanonkuler i tre retninger,strzela słabsze kulki armatni w trzech kierunkach,dispara canhões mais fracos em três direções,ਤਿੰਨ ਦਿਸ਼ਾਵਾਂ ਵਿੱਚ ਕਮਜ਼ੋਰ ਤੋਪਾਂਬੱਲ ਨੂੰ ਅੱਗ ਲਗਾਓ,Incendii de tunuri mai slabe în trei direcții,Пожары слабые пушечные ядра в трех направлениях,dispara bolas de cañón más débiles en tres direcciones,skjuter svagare kanonkulor i tre riktningar,ยิงปืนใหญ่ที่อ่อนแอกว่าในสามทิศทาง,Üç yönde zayıf top topları ateşler,пожежі слабкіші гарматні кулі в трьох напрямках,bắn những con đại bác yếu hơn theo ba hướng
xpbooster,xpbooster,XPBooster,xpbooster,Xpbooster,XPBOOSTER,xpbooster,xpbooster,Xpbooster,xpbooster,Xpbooster,xpbooster,xpbooster,XPBOOSTER,xpbooster,xpbooster,xpbooster,xpbooster,ਐਕਸਪਬੋਸਟਰ,xpbooster,Xpbooster,xpbooster,xpbooster,xpbooster,xpboster,xpbooster,xpbooster
gives xp to all adjacent tiles upon purchase,Дава XP на всички съседни плочки при покупка,购买时给所有相邻瓷砖的XP,dává XP všem sousedním dlaždicím po nákupu,giver XP til alle tilstødende fliser ved køb,Geeft XP aan alle aangrenzende tegels bij aankoop,antaa XP: lle kaikille vierekkäisille laattoille ostettaessa,Donne XP à toutes les tuiles adjacentes lors de l'achat,gibt XP für alle benachbarten Kacheln beim Kauf XP,δίνει XP σε όλα τα γειτονικά πλακίδια κατά την αγορά,खरीद पर सभी आसन्न टाइलों को XP देता है,XP -t ad az összes szomszédos csempének vásárláskor,Dà XP a tutte le piastrelle adiacenti al momento dell'acquisto,購入時にすべての隣接するタイルにXPを与えます,구매시 인접한 모든 타일에 XP를 제공합니다,gir XP til alle tilstøtende fliser ved kjøp,Daje XP wszystkim sąsiednim płytkom po zakupie,Dá XP a todos os ladrilhos adjacentes na compra,ਖਰੀਦ 'ਤੇ ਸਾਰੇ ਨਾਲ ਲੱਗਦੀਆਂ ਟਾਈਲਾਂ ਨੂੰ ਐਕਸਪੀ ਦਿੰਦਾ ਹੈ,dă XP tuturor plăcilor adiacente la cumpărare,дает XP всем смежным плиткам при покупке,Da XP a todos los mosaicos adyacentes al comprar,Ger XP till alla angränsande plattor vid köp,ให้ XP กับกระเบื้องที่อยู่ติดกันทั้งหมดเมื่อซื้อ,Satın aldıktan sonra tüm bitişik karolara XP verir,Дає XP всім сусіднім плитці при покупці,đưa XP cho tất cả các ô liền kề khi mua
rent,под наем,租,pronajmout si,leje,huur,vuokrata,louer,mieten,ενοίκιο,किराया,bérlés,affitto,家賃,임차료,leie,wynajem,aluguel,ਕਿਰਾਇਆ,chirie,арендовать,alquilar,hyra,เช่า,kira,оренда,thuê
shapeshifter,фигуричка,变形者,Shapeshifter,formskifter,gedaanteverwisselaar,muokkaus,teigne,Gestaltwandler,μετατροπέας σχήματος,शेपशिफ्टर,alakváltó,shapeshifter,Shapeshifter,Shapeshifter,Formskifter,zmiennokształtny,Shapinghifter,ਸ਼ੇਪਸ਼ੀਫਟਰ,FADESHIFTER,форсифтер,cambiaformas,formskiftare,ผู้จำแนก,şekil değiştiren,ShapeShifter,Shapeshifter
turns into a random tower each round,превръща се в произволна кула на всеки кръг,每回合变成一个随机的塔,Promění se v každé kolo náhodné věže,bliver til et tilfældigt tårn hver runde,verandert elke ronde in een willekeurige toren,muuttuu satunnaiseksi torniksi jokaisella kierroksella,se transforme en tour aléatoire à chaque tour,verwandelt sich jeweils in einen zufälligen Turm,μετατρέπεται σε τυχαίο πύργο σε κάθε γύρο,प्रत्येक दौर में एक यादृच्छिक टॉवर में बदल जाता है,minden fordulóban véletlenszerű toronyvá válik,si trasforma in una torre casuale ogni round,各ラウンドのランダムタワーに変わります,매번 라운드마다 임의의 타워로 변합니다,blir til et tilfeldig tårn hver runde,zamienia się w losową wieżę w każdej rundzie,se transforma em uma torre aleatória a cada rodada,ਇੱਕ ਰੈਂਡਮ ਟਾਵਰ ਵਿੱਚ ਬਦਲਦਾ ਹੈ,se transformă într -un turn aleatoriu în fiecare rundă,превращается в случайную башню каждый раунд,se convierte en una torre al azar en cada ronda,förvandlas till ett slumpmässigt torn varje omgång,เปลี่ยนเป็นหอสุ่มในแต่ละรอบ,Her turda rastgele bir kuleye dönüşüyor,перетворюється на випадкову вежу кожного раунду,biến thành một tòa tháp ngẫu nhiên mỗi vòng
shapeshifted tower level
nailgun,Нилгун,尼尔贡,Nilgun,Nilgun,Nilgun,Nolla,Nilgun,Nilgun,Μαργαρίτα,नीलगूं,Nilgun,Nilgun,ニルガン,Nilgun,Nilgun,Nilgun,Nilgun,ਨੀਲਗੁਨ,Nilgun,Нильгун,Nilgun,Nilgun,นิลกุน,Nilgun,Нільгун,Nilgun
nuclear,ядрена,核,jaderná,atomisk,nucleair,ydin,nucléaire,Nuklear,πυρηνικός,नाभिकीय,nukleáris,nucleare,核,핵무기,kjernefysisk,jądrowy,nuclear,ਪ੍ਰਮਾਣੂ,nuclear,ядерный,nuclear,kärn,นิวเคลียร์,nükleer,ядерний,hạt nhân
shoots barrels of radioactive liquid,изстрелва бъчви от радиоактивна течност,芽的放射性液体桶,střílí sudy radioaktivní kapaliny,Skyder tønder med radioaktiv væske,schiet vaten radioactieve vloeistof,ampuu tynnyriä radioaktiivista nestettä,tire des barils de liquide radioactif,schießt Fässer aus radioaktiver Flüssigkeit,Πυροβολεί βαρέλια ραδιενεργού υγρού,रेडियोधर्मी तरल के बैरल को गोली मारता है,Hordó radioaktív folyadékot lő,spara barili di liquido radioattivo,放射性液体の樽を撃ちます,방사성 액체의 배럴을 촬영합니다,skyter fat radioaktiv væske,strzela beczki radioaktywnej cieczy,Birta barris de líquido radioativo,ਰੇਡੀਓ ਐਕਟਿਵ ਤਰਲ ਦੇ ਬੈਰਲ ਕਮਤ ਵਧਣੀ,trage butoaie de lichid radioactiv,стреляет в бочки радиоактивной жидкости,dispara barriles de líquido radiactivo,Skott fat med radioaktiv vätska,ยิงถังของเหลวกัมมันตภาพรังสี,Varil radyoaktif sıvı vurur,знімає бочки радіоактивної рідини,Bắn thùng chất lỏng phóng xạ
laserblaster,Лазербластър,Laserblaster,Laserblaster,Laserblaster,laserblaster,laserblasteri,laserblaster,Laserblaster,laserblaster,लेजरब्लास्टर,lézerlaszter,Laserblaster,レーザーブラスター,레이저 블래스터,laserblaster,Laserblaster,laserblaster,ਲੇਜ਼ਰਬਲਾਸਟਰ,Laserblaster,Лазербластер,láserblaster,laserblåsare,เลเซอร์บลาสเตอร์,lazerblaster,лазербластер,LaserBlaster
shoots high damage lasers in four directions,изстрелва лазери с големи щети в четири посоки,在四个方向上射击高伤害激光器,střílí lasery s vysokým poškozením ve čtyřech směrech,Skyder lasere med høj skade i fire retninger,schiet lasers met hoge schade in vier richtingen,ampuu suuria vaurioita lasereita neljään suuntaan,tire des lasers à dégâts élevés dans quatre directions,schießt Laser mit hohem Schaden in vier Richtungen,Πυροβολεί λέιζερ υψηλής βλάβης σε τέσσερις κατευθύνσεις,चार दिशाओं में उच्च क्षति लेज़रों को गोली मारता है,négy irányba lő a nagy sérülési lézereket,spara laser ad alto danno in quattro direzioni,4つの方向に高いダメージレーザーを撃ちます,4 방향으로 높은 데미지 레이저를 촬영합니다,skyter lasere med høy skade i fire retninger,strzela lasery o wysokich obrażeniach w czterech kierunkach,dispara lasers de alto dano em quatro direções,ਚਾਰ ਦਿਸ਼ਾਵਾਂ ਵਿੱਚ ਉੱਚੇ ਨੁਕਸਾਨ ਦੇ ਲੇਜ਼ਰ ਨੂੰ ਕਮਤ ਵਧਾਓ,Trage lasere cu daune mari în patru direcții,стреляет лазеры с высоким повреждением в четырех направлениях,dispara láser de alto daño en cuatro direcciones,skjuter höga skador i fyra riktningar,ถ่ายเลเซอร์ความเสียหายสูงในสี่ทิศทาง,Dört yönde yüksek hasar lazerleri vurur,стріляє з високими пошкодженнями лазерами в чотирьох напрямках,bắn những tia laser thiệt hại cao theo bốn hướng
overload,Претоварване,超载,přetížení,overbelaste,overbelasten,ylikuormitus,surcharge,Überlast,παραφορτώνω,अधिभार,túlterhelés,sovraccarico,過負荷,초과 적재,overbelastning,przeciążać,sobrecarga,ਓਵਰਲੋਡ,supraîncărcare,перегрузка,sobrecarga,överbelastning,มากเกินไป,aşırı yükleme,перевантаження,Quá tải
enhances a random close attack tower,Подобрява случайна кула за близки атаки,增强一个随机的关闭攻击塔,Zvyšuje náhodnou věž na útoku,forbedrer et tilfældigt tæt angrebstårn,verbetert een willekeurige close -aanvalstoren,parantaa satunnaista tiivistä hyökkäystornia,Améliore une tour d'attaque étroite aléatoire,verbessert einen zufälligen nahen Angriffsturm,ενισχύει έναν τυχαίο πύργο στενής επίθεσης,एक यादृच्छिक करीबी हमले टॉवर को बढ़ाता है,Fokozza a véletlenszerű szoros támadási tornyot,Migliora una torre di attacco ravvicinata casuale,ランダムに近い攻撃タワーを強化します,임의의 닫기 공격 타워를 향상시킵니다,forbedrer et tilfeldig nær angrepstårn,Zwiększa losową bliską wieżę ataku,Aumenta uma torre de ataque estreita aleatória,ਇੱਕ ਬੇਤਰਤੀਬੇ ਨਜ਼ਦੀਕੀ ਹਮਲੇ ਦੇ ਟਾਵਰ ਨੂੰ ਵਧਾਉਂਦਾ ਹੈ,îmbunătățește un turn de atac apropiat aleatoriu,Улучшает случайную башню тесной атаки,Mejora una torre de ataque cercano al azar,Förbättrar ett slumpmässigt nära attacktorn,เพิ่มหอโจมตีแบบสุ่มอย่างใกล้ชิด,rastgele bir kapanış kulesi geliştirir,Посилює випадкову ретельну башту,Tăng cường một tháp tấn công gần ngẫu nhiên
stopwatch,хронометър,跑表,stopky,Stopur,stopwatch,sekuntikello,chronomètre,Stoppuhr,χρονόμετρο,स्टॉपवॉच देखनी,stopperóra,cronometro,ストップウォッチ,스톱워치,stoppeklokke,stoper,cronômetro,ਸਟਾਪ ਵਾਚ,cronometru,секундомер,cronógrafo,stoppur,นาฬิกาจับเวลา,kronometre,секундомір,Đồng hồ bấm giờ
freezes all enemies briefly,замръзва за кратко всички врагове,短暂冻结所有敌人,krátce zamrzne všechny nepřátele,fryser alle fjender kort,bevriest alle vijanden kort,jäädyttää kaikki viholliset hetkeksi,gèle brièvement tous les ennemis,friert alle Feinde kurz ein,παγώνει όλους τους εχθρούς εν συντομία,सभी दुश्मनों को संक्षेप में मुक्त करता है,Röviden lefagy minden ellenséget,congela brevemente tutti i nemici,すべての敵を簡単にフリーズします,모든 적을 잠깐 멈 춥니 다,fryser alle fiender kort,krótko zamraża wszystkich wrogów,congela todos os inimigos brevemente,ਸਾਰੇ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਸੰਖੇਪ ਵਿੱਚ ਜੰਮ ਜਾਂਦਾ ਹੈ,îngheață pe toți dușmanii pe scurt,кратко замораживает всех врагов,congela a todos los enemigos brevemente,fryser alla fiender kort,แช่แข็งศัตรูทั้งหมดสั้น ๆ,Tüm düşmanları kısaca dondurur,Коротко замерзає всіх ворогів,đóng băng tất cả kẻ thù một cách ngắn gọn
detonator,детонатор,雷管,rozbuška,detonator,detonator,räjäyttäjä,détonateur,Zünder,πυροκροτητής,बारूद भरा हुआ पटाखा,detonátor,detonatore,雷管,뇌관,Detonator,detonator,detonador,ਡੀਟੋਨਟੇਟਰ,detonator,детонатор,detonador,detonator,เครื่องจุดระเบิด,patlayıcı,детонатор,ngòi nổ
spikes,шипове,钉,hroty,Spikes,stekels,piikit,pointes,Spikes,αιχμές,कीलें,tüskék,picchi,スパイク,스파이크,pigger,kolce,espigões,ਸਪਾਈਕਸ,vârfuri,шипы,Picos,spetsar,แหลม,çivili,колоски,gai
leaves spikes on the track,оставя шипове на пистата,在赛道上留下尖峰,ponechává hroty na trati,forlader pigge på banen,laat spikes op de baan,jättää piikit radalle,laisse des pointes sur la piste,Blätter Spikes auf der Strecke,αφήνει αιχμές στην πίστα,ट्रैक पर स्पाइक्स छोड़ देता है,Spike -t hagy a pályán,lascia picchi in pista,トラックにスパイクを残します,트랙에 스파이크가 남습니다,etterlater pigger på banen,Pozostawia kolce na torze,folhas picos na pista,ਟਰੈਕ 'ਤੇ ਸਪਾਈਕਸ ਛੱਡਦਾ ਹੈ,lasă vârfuri pe pistă,Листья шиповы на трассе,Hojas de hojas en la pista,lämnar spikar på banan,ใบแหลมบนแทร็ก,Pistte sivri uçlar,залишає шипи на трасі,Lá gai trên đường đua
frostedspikes,FrostedSpikes,霜冻,Frodesspikes,FrostedSpikes,frostedspikes,huurre,pointes givrées,Frostedspikes,παγωμένος,फ्रॉस्टेडस्पाइक,Fagyosspikes,Spike gelidi,フロストスパイク,프로스트 스파이크,Frostedspikes,Frostspikes,Frosticspikes,frostspspikes,Frostspikes,Frostedspikes,espeluznantes,frostadspikar,Frostedspikes,Buzluspikes,Морозист,Frostedspike
leaves freezing spikes on the track,Листата замръзващи шипове на пистата,在赛道上留下冷冻尖峰,ponechává na trati mrazivé hroty,efterlader frysende pigge på banen,Bladeren ijskoude spikes op de baan,jättää radalla jäätyviä piikkejä,laisse des pointes glaciales sur la piste,Blätter eisige Spikes auf der Strecke,Αφήνει τις αιχμές κατάψυξης στην πίστα,ट्रैक पर फ्रीजिंग स्पाइक्स छोड़ देता है,Hagyja a fagyasztó tüskéket a pályán,lascia picchi gelidi in pista,トラックにスパイクを凍らせます,트랙에 얼어 붙는 스파이크가 나옵니다,etterlater frysende pigger på banen,Pozostawia zamarzające kolce na torze,folhas congelando picos na pista,ਟਰੈਕ 'ਤੇ ਠੰ.,lasă vârfuri de îngheț pe pistă,листья замораживающих шипов на трассе,Hojas de congelación en la pista,lämnar frysspikar på banan,ออกจากหนามแหลมบนเส้นทาง,Pistte dondurucu sivri uçlar bırakır,Листя замерзаючі шипи на трасі,Lá có gai đóng băng trên đường đua
monkey,Маймуна,猴,opice,abe,aap,apina,singe,Affe,Πίθηκος,बंदर,majom,scimmia,猿,원숭이,ape,małpa,macaco,ਬਾਂਦਰ,maimuţă,обезьяна,mono,apa,ลิง,maymun,мавпа,con khỉ
throws darts,хвърля дартс,投掷飞镖,Hodí šipky,kaster dart,gooit darts,heittää tikkaa,lance des fléchettes,wirft Darts,ρίχνει βελάκια,डार्ट्स फेंकता है,dobja a dartsokat,lancia freccette,ダーツを投げます,다트를 던진다,kaster dart,rzuca rzutki,joga dardos,ਡਾਰਟਸ ਸੁੱਟਦਾ ਹੈ,aruncă săgeți,бросает дротики,lanza dardos,kastar dart,โยนปาเป้า,Dart atar,кидає дротики,ném phi tiêu
flamethrower,Flamethrower,喷火器,Flamethrower,Flamethrower,vlammenwerper,liekinheitto,lance-flammes,Flammenwerfer,φλόγας,आग फेंकने की तोप,lángszóró,lanciafiamme,火炎放射器,화염 방향,flammekaster,miotacz ognia,lança -chamas,ਫਲੈਮੇਟਰਾਵਰ,Flamethrower,огнемет,echador de llama,eldkastare,เครื่องพ่นไฟ,alev makinesi,фламмет,Súng phun lửa
blasts torrents of blazing fire,взривни пулси от пламтящ огън,爆炸大火的洪流,výbuchy torrenty planoucího ohně,sprænger torrents af flammende ild,straalt torrents van laaiend vuur,räjäyttää torrentit palavan tulen,souffle des torrents de feu flamboyant,sprengt Ströme des Brandfeuers,εκρήξεις χείμαρρων πυρκαγιάς,धमाकेदार आग के धारियों को विस्फोट करता है,robbantja a lángoló tűz torráit,fa esplodere torrenti di fuoco ardente,燃える火の急流を爆発させます,불타는 불의 급류를 폭파합니다,Sprengninger Torrenter av brennende ild,wybucha torrenty płonącego ognia,explosões torrentes de fogo ardente,ਬਲਦੀ ਅੱਗ ਦੇ ਧਮਾਕੇ,BLASTS Torrents of Blazing Fire,взрывы потоки пылающего огня,explota torrentes de fuego ardiente,sprängningar av brinnande eld,Blasts Torrents of Blazing Fire,yanan ateşin patlamaları,вибухає потоки палаючого вогню,những cơn nổ của lửa lửa
affliction,страдание,痛苦,utrpení,lidelse,aandoening,hoitaminen,affliction,Gebrechen,θλίψη,यातना,szenvedés,afflizione,苦しみ,고통,lidelse,cierpienie,aflição,ਦੁੱਖ,afecțiune,страдания,aflicción,lidande,ความทุกข์,ızdırap,страждання,phiền não
does damage scaled on an enemy's effects,Увреждането се мащабира върху ефектите на врага,会在敌人的影响上施加损害吗,Zmenšuje se poškození na účinky nepřítele,Skader skader på en fjendes virkning,Beschadigt schade op de effecten van een vijand,Onko vihollisen vaikutuksia skaalattu vahinko,Les dégâts sont-ils mis à l'échelle sur les effets de l'ennemi,Schädigt Schäden auf die Auswirkungen eines Feindes,Η βλάβη κλιμακώνεται στα εχθρικά εχθρικά,एक दुश्मन के प्रभावों पर नुकसान पहुंचाता है,az ellenség hatásain méretezett károk -e,Danno ridimensionato sugli effetti di un nemico,敵の効果にダメージが拡大されますか,적의 효과로 손상이 축소됩니다,Skader skader på en fiendes effekter,Czy obrażenia są skalowane na skutki wroga,Danos escalados nos efeitos de um inimigo,ਕੀ ਦੁਸ਼ਮਣ ਦੇ ਪ੍ਰਭਾਵਾਂ 'ਤੇ ਨੁਕਸਾਨ ਹੈ,daunele sunt reduse asupra efectelor inamicului,Уносится ли ущерб на воздействие врага,¿El daño escalado en los efectos de un enemigo?,skadar en fiendens effekter,ความเสียหายลดขนาดลงบนเอฟเฟกต์ของศัตรู,Bir düşmanın etkileri üzerinde ölçeklendirilen hasar mı,Чи шкода масштабна на наслідки противника,Thiệt hại có tỷ lệ lên hiệu ứng của kẻ thù không
energizer,енергизатор,能量器,Energizer,Energizer,energieker,energisaattori,énergisant,Energizer,ενεργοποιητής,एनर्जाइज़र,oltó,energizzante,エネルギー,에너자이저,Energizer,Energizer,Energizer,ਤਾਕਤਵਰ,energizant,Энергизер,enchufador,energigröare,ผู้ใช้พลังงาน,enerji veren kimse,енергійник,năng lượng
makes huge chains of lignting,Прави огромни вериги от мълния,制作巨大的闪电链,Vyrábí obrovské řetězy blesku,Lav enorme lynnakkekæder,maakt enorme bliksemketens,tekee valtavia salamanketjuja,fait d'énormes chaînes de foudre,macht riesige Blitzketten,κάνει τεράστιες αλυσίδες αστραπής,बिजली की विशाल श्रृंखलाएं बनाता है,hatalmas láncolatokat készít,fa enormi catene di fulmini,稲妻の巨大なチェーンを作ります,큰 번개 사슬을 만듭니다,lager enorme lynkjeder,robi ogromne łańcuchy błyskawicy,faz enormes correntes de raios,ਬਿਜਲੀ ਦੀਆਂ ਵੱਡੀਆਂ ਚੇਨਜ਼ ਕਰਦਾ ਹੈ,face lanțuri uriașe de fulgere,делает огромные сети молнии,Hace enormes cadenas de rayo,gör enorma blixtkedjor,ทำสายฟ้าขนาดใหญ่,Büyük şimşek zincirleri yapar,робить величезні ланцюги блискавки,tạo ra các chuỗi sét khổng lồ
crossbow,арбалет,弩,kuše,armbue,kruisboog,varsijousi,arbalète,Armbrust,Βαλλίστρα,क्रॉसबो,nyílpuska,balestra,クロスボウ,석궁,korsbue,kusza,besta,ਕਰਾਸਬੋ,arbaletă,арбалет,ballesta,korsbåge,หน้าไม้,tatar yayı,арбалет,nỏ
shoots arrows with high range,стреля стрели с висок обхват,射击高射程,střílí šipky s vysokým dosahem,Skyder pile med høj rækkevidde,schiet pijlen met een hoog bereik,ampuu nuolet korkealla alueella,tire des flèches avec une gamme élevée,schießt Pfeile mit hohem Bereich,πυροβολεί βέλη με μεγάλη εμβέλεια,उच्च श्रेणी के साथ तीर को गोली मारता है,nagy tartományú nyilakat lő,spara frecce con gamma alta,高い範囲の矢印を撃ちます,높은 범위의 화살표를 촬영합니다,skyter piler med høyt område,Strzela strzałki z dużym zasięgiem,dispara flechas com alto alcance,ਉੱਚ ਸੀਮਾ ਦੇ ਨਾਲ ਤੀਰ ਕਮਤ ਵਧਣੀ,Împușcă săgeți cu o gamă ridicată,стреляет стрелки с высоким диапазоном,dispara flechas con alto rango,Skottpilar med hög räckvidd,ลูกธนูที่มีช่วงสูง,Yüksek menzilli oklar çekiyor,стріляє стрілами з великим дальністю,bắn mũi tên có phạm vi cao
fan,вентилатор,扇子,fanoušek,ventilator,fan,tuuletin,ventilateur,Fan,ανεμιστήρας,पंखा,ventilátor,fan,ファン,팬,fan,wentylator,fã,ਪੱਖਾ,ventilator,вентилятор,admirador,fläkt,พัดลม,fan,фанат,cái quạt
pushes enemies back,избутва враговете назад,将敌人推回去,tlačí nepřátele zpět,skubber fjender tilbage,duwt vijanden terug,työntää vihollisia takaisin,repousse les ennemis,drückt Feinde zurück,σπρώχνει τους εχθρούς πίσω,दुश्मनों को पीछे धकेलता है,visszahúzza az ellenségeket,spinge indietro i nemici,敵を押し戻します,적을 다시 밀어 넣습니다,skyver fiender tilbake,odpycha wrogów z powrotem,empurra os inimigos de volta,ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਵਾਪਸ ਧੱਕਦਾ ਹੈ,Împinge inamicii înapoi,Толкает врагов обратно,empuja a los enemigos hacia atrás,skjuter tillbaka fiender,ผลักศัตรูกลับ,Düşmanları geri iter,відштовхує ворогів назад,Đẩy kẻ thù trở lại
bazooka,Bazooka,火箭筒,pancéřová pěst,Bazooka,bazooka,bazooka,bazooka,Bazooka,μπαζούκα,bazooka,bazooka,bazooka,バズーカ,바주카포,Bazooka,Bazooka,bazuca,ਬਾਜ਼ੂਕਾ,Bazooka,Базука,bazuca,bazooka,รถถัง,bazuka,Базука,bazooka
pesticide,пестицид,农药,pesticid,pesticid,pesticide,torjunta -aine,pesticide,Pestizid,φυτοφάρμακο,कीटनाशक,növényvédőszer,pesticida,農薬,농약,plantevernmiddel,pestycyd,pesticida,ਕੀੜੇਮਾਰ ਦਵਾਈਆਂ,pesticid,пестицид,pesticida,pesticid,ยาฆ่าแมลง,pestisit,пестицид,thuốc trừ sâu
does enormous damage to elites and bosses,Нанася огромни щети на елитите и шефовете,对精英和老板造成巨大伤害,Dělá obrovské poškození elit a šéfů,Skader enorme skader på eliter og chefer,Brengt enorme schade aan elites en bazen,vauriottaa eliittiä ja pomoja valtavia vahinkoja,fait d'énormes dommages aux élites et aux boss,verursacht enorme Schäden an Eliten und Chefs,κάνει τεράστια ζημιά στις ελίτ και τα αφεντικά,elites और मालिकों को भारी नुकसान होता है,óriási károkat okoz az elit és a főnökök számára,fa enormi danni a élite e boss,エリートやボスに大きなダメージを与えます,엘리트와 보스에게 엄청난 피해를줍니다,gjør enorm skade på eliter og sjefer,wyrządza ogromne szkody elit i bossów,causam danos enormes a elites e chefes,ਕੁਲੀਨ ਅਤੇ ਬੌਸਿਆਂ ਨੂੰ ਬਹੁਤ ਵੱਡਾ ਨੁਕਸਾਨ ਕਰਦਾ ਹੈ,daune enorme elitelor și șefilor,наносит огромный ущерб элитам и боссам,hace un enorme daño a las élites y los jefes,gör enorma skador på eliter och chefer,ความเสียหายอย่างมากต่อชนชั้นสูงและผู้บังคับบัญชา,Elitlere ve patronlara muazzam bir hasar mı,Чи величезна шкода елітам та начальникам,có thiệt hại to lớn cho giới tinh hoa và ông chủ không
campfire,огън,营火,táborák,lejrbål,kampvuur,nuotio,feu de camp,Lagerfeuer,κάμπινγκ,कैम्प फ़ायर,tábortűz,falò,キャンプファイヤー,캠프 불,bål,ognisko,fogueira,ਕੈਂਪਫਾਇਰ,Foc de tabără,костер,hoguera,lägereld,แคมป์ไฟ,kamp ateşi,багаття,lửa trại
all fire damage in range is increased,Всички щети от пожар в обхвата се увеличават,范围内的所有火灾损坏都会增加,Veškeré poškození požáru v dosahu jsou zvýšeny,Alle brandskader inden for rækkevidde øges,Alle brandschade in het bereik is verhoogd,Kaikki alueen palovauriot lisääntyvät,Tous les dégâts de feu dans la plage sont augmentés,Alle Brandschäden im Reichweite werden erhöht,Όλες οι ζημιές πυρκαγιάς στην περιοχή αυξάνονται,सीमा में सभी आग क्षति बढ़ जाती है,Az összes tűzkár megnövekszik a tartományban,Tutti i danni al fuoco nella portata sono aumentati,範囲内のすべての火災損傷が増加します,범위의 모든 화재 손상이 증가합니다,All brannskade i rekkevidde økes,Wszelkie obrażenia pożarowe w zasięgu są zwiększone,Todo dano de incêndio no alcance é aumentado,ਸੀਮਾ ਵਿੱਚ ਅੱਗ ਦਾ ਨੁਕਸਾਨ ਵਧਿਆ ਹੈ,Toate daunele la incendiu în raza de acțiune este crescută,Весь повреждение пожара в диапазоне увеличивается,todo el daño al fuego en el rango aumenta,Alla brandskador inom räckvidd ökas,ความเสียหายจากอัคคีภัยทั้งหมดเพิ่มขึ้น,Menzildeki tüm yangın hasarı arttı,Всі пожежі в діапазоні збільшуються,Tất cả thiệt hại lửa trong phạm vi được tăng lên
poison,отрова,毒,jed,gift,vergif,myrkyttää,poison,Gift,δηλητήριο,ज़हर,méreg,veleno,毒,독,gift,zatruć,tóxico,ਜ਼ਹਿਰ,otravă,яд,veneno,förgifta,พิษ,zehir,отрута,chất độc
leaves pools of poison,оставя басейни от отрова,留下毒药池,nechává bazény jedu,Blade Pools of Poison,Bladeren pools van gif,jättää myrkkyaltaat,Feuilles de piscines de poison,Blätter Pools des Giftes,αφήνει πισίνες δηλητήριο,जहर के पूल छोड़ देता है,elhagyja a méregmedencéket,lascia pozze di veleno,毒のプールを残します,독의 수영장을 떠납니다,etterlater giftbassenger,Pozostawia baseny trucizny,folhas piscinas de veneno,ਜ਼ਹਿਰ ਦੇ ਪੂਲ ਛੱਡਦੇ ਹਨ,lasă bazine de otravă,оставляет бассейны яда,Deja piscinas de veneno,lämnar giftbassänger,ใบสระว่ายน้ำพิษ,Zehir havuzları bırakır,залишає басейни отрути,Lá hồ độc
magnifier,лупа,放大镜,Zvětšovač,forstørrelse,vergrootglas,suurennuslasi,actualité,Lupe,μεγεθυντικός,ताल,nagyító,ingrandimento,拡大鏡,돋보기,forstørrelse,lupa,lupa,ਵੱਡਦਰਸ਼ੀ,lupă,увеличитель,lupa,förstoringsglas,เครื่องขยายเสียง,büyüteç,луна,phóng đại
cannon,оръдие,大炮,dělo,kanon,kanon,tykki,canon,Kanone,κανόνι,तोप,ágyú,cannone,大砲,대포,kanon,armata,canhão,ਤੋਪ,tun,пушка,cañón,kanon,ปืนใหญ่,top,гармат,đại bác
